evidence_role,canonical_artifact_name,scope,archive_path,member_path,archive_sha256,member_sha256,status,note
comparison_provider_separated_source,nrr_patterns_provider_separated_stage1_rep2_openai_raw_source,main comparison spine,results/nrr_patterns_results_stage1_t00_rep2.zip,results/analysis/nrr_patterns_prod_openai_clean_t00_paired_deltas.csv,1d0397469f7cfb90fda966d1db58e983cd0134f783dd3ba32381775a38636fa7,33ffd6d7071080aa348933cda9ba65f312e41c574c81a3b3c3bcb181141dcb4e,supporting,Stage1 rep2 OpenAI provider-specific raw paired-delta source used to build the provider-separated stability summary
comparison_source,nrr_patterns_comparison_stage2_t03_source,main comparison spine,results/nrr_patterns_results_stage2_t03.zip,results/analysis/nrr_patterns_allproviders_pattern_summary_robust_t03.csv,3dd7402e879a7919ee4ac0c075cb13aab2cfb92eedf18b3b551504f5ffe2f5d5,da0d3f1c5260fffc776c01e8596a49dfc1e4731fb45eab11dbe246f456d9e373,supporting,Stage2 t=0.3 robust comparison source retained as the separated robustness member rather than folded into the headline mean
comparison_source,nrr_patterns_comparison_stage2_t03_paired_deltas_merged_source,main comparison spine,results/nrr_patterns_results_stage2_t03.zip,results/analysis/nrr_patterns_allproviders_paired_deltas_merged_t03.csv,3dd7402e879a7919ee4ac0c075cb13aab2cfb92eedf18b3b551504f5ffe2f5d5,a783b24271af2b5c9d6a6a602272b357c0552269dfc2db4211adc3e339e04a43,supporting,Stage2 t=0.3 merged paired-delta source used for row-level drill-down on the separated robustness member
comparison_provider_separated_source,nrr_patterns_provider_separated_stage2_t03_anthropic_raw_source,main comparison spine,results/nrr_patterns_results_stage2_t03.zip,results/analysis/nrr_patterns_prod_anthropic_clean_t03_paired_deltas.csv,3dd7402e879a7919ee4ac0c075cb13aab2cfb92eedf18b3b551504f5ffe2f5d5,c686ab2d2c4988b438811a79af65da279f2c6e20f2985e97585d9e0c59810b5e,supporting,Stage2 Anthropic provider-specific raw paired-delta source used to build the provider-separated stability summary
comparison_provider_separated_source,nrr_patterns_provider_separated_stage2_t03_gemini_raw_source,main comparison spine,results/nrr_patterns_results_stage2_t03.zip,results/analysis/nrr_patterns_prod_gemini_clean_t03_paired_deltas.csv,3dd7402e879a7919ee4ac0c075cb13aab2cfb92eedf18b3b551504f5ffe2f5d5,188dc8ad8fec8954852ff5835e7239cebd8d9c65a3747aaee136d7353b99d66c,supporting,Stage2 Gemini provider-specific raw paired-delta source used to build the provider-separated stability summary
comparison_provider_separated_source,nrr_patterns_provider_separated_stage2_t03_openai_raw_source,main comparison spine,results/nrr_patterns_results_stage2_t03.zip,results/analysis/nrr_patterns_prod_openai_clean_t03_paired_deltas.csv,3dd7402e879a7919ee4ac0c075cb13aab2cfb92eedf18b3b551504f5ffe2f5d5,5bb882ed8f87f152cfa995fee25ca8ccd0c1bb2a0b5f9ade039d0dbe1265112a,supporting,Stage2 OpenAI provider-specific raw paired-delta source used to build the provider-separated stability summary
comparison_source,nrr_patterns_branch_stage2_gemini_paired_deltas_source,main comparison spine,results/nrr_patterns_results_stage2_t03.zip,results/analysis/nrr_patterns_prod_gemini_clean_t03_paired_deltas.csv,3dd7402e879a7919ee4ac0c075cb13aab2cfb92eedf18b3b551504f5ffe2f5d5,188dc8ad8fec8954852ff5835e7239cebd8d9c65a3747aaee136d7353b99d66c,supporting,Stage2 Gemini provider-specific paired-delta source used for the Branch tail-risk row-level read
compression_control,nrr_patterns_compression_control_r2,main-text control,results/analysis/nrr_patterns_comparison_summary_r2_aggregated.csv,,13156bd9547169ab700124e8932d963b477f92586a2c545af567f1a5b91d8058,,active,Provider-balanced r2 comparison summary used for the compression control
appendix_surface,nrr_patterns_no_position_ablation_zip,appendix/package-first,results/nrr_patterns_no_position_t00.zip,,62e6c1c3ea87d1417c6bb25081313cbfc846da0685796823d9ed50c4689acdb2,,demoted,Retained as robustness surface but not mainline by default
appendix_surface,nrr_patterns_no_position_ablation_summary,appendix/package-first,results/analysis/nrr_patterns_no_position_summary.csv,,9a91d8daee4ffd0f6ae601dbb87e3289c6f671f8d8979cfc01be04c342ebc764,,demoted,Convenience summary for the no-position ablation
