provider,model,tier,pattern,scenario,repetition,temperature,baseline_tokens,pattern_tokens,reduction_tokens,reduction_percent,baseline_success_rate,pattern_success_rate,baseline_cost_per_success_tokens,pattern_cost_per_success_tokens,cost_per_success_delta_tokens
anthropic,claude-sonnet-4-20250514,tier2,delta,scenario1,3,0.0,1564.0,780.0,784.0,50.127877,1.0,1.0,1564.0,780.0,784.0
anthropic,claude-sonnet-4-20250514,tier2,delta,scenario2,1,0.0,1731.0,879.0,852.0,49.220104,1.0,1.0,1731.0,879.0,852.0
anthropic,claude-sonnet-4-20250514,tier2,delta,scenario2,2,0.0,1731.0,879.0,852.0,49.220104,1.0,1.0,1731.0,879.0,852.0
anthropic,claude-sonnet-4-20250514,tier2,delta,scenario2,3,0.0,1731.0,879.0,852.0,49.220104,1.0,1.0,1731.0,879.0,852.0
openai,gpt-4o-mini-2024-07-18,tier1,hierarchical,scenario1,1,0.0,293.0,172.0,121.0,41.296928,1.0,1.0,293.0,172.0,121.0
openai,gpt-4o-mini-2024-07-18,tier1,hierarchical,scenario1,2,0.0,293.0,172.0,121.0,41.296928,1.0,1.0,293.0,172.0,121.0
openai,gpt-4o-mini-2024-07-18,tier1,hierarchical,scenario1,3,0.0,293.0,172.0,121.0,41.296928,1.0,1.0,293.0,172.0,121.0
openai,gpt-4o-mini-2024-07-18,tier1,hierarchical,scenario1,4,0.0,293.0,172.0,121.0,41.296928,1.0,1.0,293.0,172.0,121.0
openai,gpt-4o-mini-2024-07-18,tier1,hierarchical,scenario1,5,0.0,293.0,172.0,121.0,41.296928,1.0,1.0,293.0,172.0,121.0
openai,gpt-4o-mini-2024-07-18,tier1,hierarchical,scenario2,1,0.0,272.0,153.0,119.0,43.75,1.0,1.0,272.0,153.0,119.0
openai,gpt-4o-mini-2024-07-18,tier1,hierarchical,scenario2,2,0.0,272.0,153.0,119.0,43.75,1.0,1.0,272.0,153.0,119.0
openai,gpt-4o-mini-2024-07-18,tier1,hierarchical,scenario2,3,0.0,272.0,153.0,119.0,43.75,1.0,1.0,272.0,153.0,119.0
openai,gpt-4o-mini-2024-07-18,tier1,hierarchical,scenario2,4,0.0,272.0,153.0,119.0,43.75,1.0,1.0,272.0,153.0,119.0
openai,gpt-4o-mini-2024-07-18,tier1,hierarchical,scenario2,5,0.0,272.0,153.0,119.0,43.75,1.0,1.0,272.0,153.0,119.0
openai,gpt-4o-mini-2024-07-18,tier1,hierarchical,scenario3,1,0.0,282.0,162.0,120.0,42.553191,1.0,1.0,282.0,162.0,120.0
openai,gpt-4o-mini-2024-07-18,tier1,hierarchical,scenario3,2,0.0,282.0,162.0,120.0,42.553191,1.0,1.0,282.0,162.0,120.0
openai,gpt-4o-mini-2024-07-18,tier1,hierarchical,scenario3,3,0.0,282.0,162.0,120.0,42.553191,1.0,1.0,282.0,162.0,120.0
openai,gpt-4o-mini-2024-07-18,tier1,hierarchical,scenario3,4,0.0,282.0,162.0,120.0,42.553191,1.0,1.0,282.0,162.0,120.0
openai,gpt-4o-mini-2024-07-18,tier1,hierarchical,scenario3,5,0.0,282.0,162.0,120.0,42.553191,1.0,1.0,282.0,162.0,120.0
openai,gpt-4o-mini-2024-07-18,tier1,lazy,scenario1,1,0.0,1258.0,1092.0,166.0,13.195548,1.0,1.0,1258.0,1092.0,166.0
openai,gpt-4o-mini-2024-07-18,tier1,lazy,scenario1,2,0.0,1266.0,1098.0,168.0,13.270142,1.0,1.0,1266.0,1098.0,168.0
openai,gpt-4o-mini-2024-07-18,tier1,lazy,scenario1,3,0.0,1186.0,1116.0,70.0,5.902192,1.0,1.0,1186.0,1116.0,70.0
openai,gpt-4o-mini-2024-07-18,tier1,lazy,scenario1,4,0.0,1201.0,1120.0,81.0,6.74438,1.0,1.0,1201.0,1120.0,81.0
openai,gpt-4o-mini-2024-07-18,tier1,lazy,scenario1,5,0.0,1250.0,1107.0,143.0,11.44,1.0,1.0,1250.0,1107.0,143.0
openai,gpt-4o-mini-2024-07-18,tier1,lazy,scenario2,1,0.0,1063.0,1060.0,3.0,0.28222,1.0,1.0,1063.0,1060.0,3.0
openai,gpt-4o-mini-2024-07-18,tier1,lazy,scenario2,2,0.0,1067.0,1092.0,-25.0,-2.343018,1.0,1.0,1067.0,1092.0,-25.0
openai,gpt-4o-mini-2024-07-18,tier1,lazy,scenario2,3,0.0,1073.0,1045.0,28.0,2.609506,1.0,1.0,1073.0,1045.0,28.0
openai,gpt-4o-mini-2024-07-18,tier1,lazy,scenario2,4,0.0,1078.0,1034.0,44.0,4.081633,1.0,1.0,1078.0,1034.0,44.0
openai,gpt-4o-mini-2024-07-18,tier1,lazy,scenario2,5,0.0,1046.0,1007.0,39.0,3.728489,1.0,1.0,1046.0,1007.0,39.0
openai,gpt-4o-mini-2024-07-18,tier1,lazy,scenario3,1,0.0,2060.0,1193.0,867.0,42.087379,1.0,1.0,2060.0,1193.0,867.0
openai,gpt-4o-mini-2024-07-18,tier1,lazy,scenario3,2,0.0,2101.0,1172.0,929.0,44.21704,1.0,1.0,2101.0,1172.0,929.0
openai,gpt-4o-mini-2024-07-18,tier1,lazy,scenario3,3,0.0,2036.0,1153.0,883.0,43.369352,1.0,1.0,2036.0,1153.0,883.0
openai,gpt-4o-mini-2024-07-18,tier1,lazy,scenario3,4,0.0,2091.0,1172.0,919.0,43.950263,1.0,1.0,2091.0,1172.0,919.0
openai,gpt-4o-mini-2024-07-18,tier1,lazy,scenario3,5,0.0,2067.0,1183.0,884.0,42.767296,1.0,1.0,2067.0,1183.0,884.0
openai,gpt-4o-mini-2024-07-18,tier2,delta,scenario1,1,0.0,1052.0,636.0,416.0,39.543726,1.0,1.0,1052.0,636.0,416.0
openai,gpt-4o-mini-2024-07-18,tier2,delta,scenario1,2,0.0,936.0,533.0,403.0,43.055556,1.0,1.0,936.0,533.0,403.0
openai,gpt-4o-mini-2024-07-18,tier2,delta,scenario1,3,0.0,1052.0,663.0,389.0,36.977186,1.0,1.0,1052.0,663.0,389.0
openai,gpt-4o-mini-2024-07-18,tier2,delta,scenario2,1,0.0,977.0,623.0,354.0,36.233367,1.0,1.0,977.0,623.0,354.0
openai,gpt-4o-mini-2024-07-18,tier2,delta,scenario2,2,0.0,944.0,617.0,327.0,34.639831,1.0,1.0,944.0,617.0,327.0
openai,gpt-4o-mini-2024-07-18,tier2,delta,scenario2,3,0.0,932.0,621.0,311.0,33.369099,1.0,1.0,932.0,621.0,311.0
